,horsepower,price
0,111,13495
1,111,16500
2,154,16500
3,102,13950
4,115,17450
5,110,15250
6,110,17710
7,110,18920
8,140,23875
10,101,16430
11,101,16925
12,121,20970
13,121,21105
14,121,24565
15,182,30760
16,182,41315
17,182,36880
18,48,5151
19,70,6295
20,70,6575
21,68,5572
22,68,6377
23,102,7957
24,68,6229
25,68,6692
26,68,7609
28,88,8921
29,145,12964
30,58,6479
31,76,6855
32,60,5399
33,76,6529
34,76,7129
35,76,7295
36,76,7295
37,86,7895
38,86,9095
39,86,8845
40,86,10295
41,101,12945
42,100,10345
43,78,6785
46,90,11048
47,176,32250
48,176,35550
49,262,36000
50,68,5195
51,68,6095
52,68,6795
53,68,6695
54,68,7395
55,101,10945
56,101,11845
57,101,13645
58,135,15645
59,84,8845
60,84,8495
61,84,10595
62,84,10245
63,64,10795
64,84,11245
65,120,18280
66,72,18344
67,123,25552
68,123,28248
69,123,28176
70,123,31600
71,155,34184
72,155,35056
73,184,40960
74,184,45400
75,175,16503
76,68,5389
77,68,6189
78,68,6669
79,102,7689
80,116,9959
81,88,8499
82,145,12629
83,145,14869
84,145,14489
85,88,6989
86,88,8189
87,116,9279
88,116,9279
89,69,5499
90,55,7099
91,69,6649
92,69,6849
93,69,7349
94,69,7299
95,69,7799
96,69,7499
97,69,7999
98,69,8249
99,97,8949
100,97,9549
101,152,13499
102,152,14399
103,152,13499
104,160,17199
105,200,19699
106,160,18399
107,97,11900
108,95,13200
109,97,12440
110,95,13860
111,95,15580
112,95,16900
113,95,16695
114,95,17075
115,97,16630
116,95,17950
117,142,18150
118,68,5572
119,102,7957
120,68,6229
121,68,6692
122,68,7609
123,88,8921
124,145,12764
125,143,22018
126,207,32528
127,207,34028
128,207,37028
130,95,9295
131,95,9895
132,110,11850
133,110,12170
134,110,15040
135,110,15510
136,160,18150
137,160,18620
138,69,5118
139,73,7053
140,73,7603
141,82,7126
142,82,7775
143,94,9960
144,82,9233
145,111,11259
146,82,7463
147,94,10198
148,82,8013
149,111,11694
150,62,5348
151,62,6338
152,62,6488
153,62,6918
154,62,7898
155,62,8778
156,70,6938
157,70,7198
158,56,7898
159,56,7788
160,70,7738
161,70,8358
162,70,9258
163,70,8058
164,70,8238
165,112,9298
166,112,9538
167,116,8449
168,116,9639
169,116,9989
170,116,11199
171,116,11549
172,116,17669
173,92,8948
174,73,10698
175,92,9988
176,92,10898
177,92,11248
178,161,16558
179,161,15998
180,156,15690
181,156,15750
182,52,7775
183,85,7975
184,52,7995
185,85,8195
186,85,8495
187,68,9495
188,100,9995
189,90,11595
190,90,9980
191,110,13295
192,68,13845
193,88,12290
194,114,12940
195,114,13415
196,114,15985
197,114,16515
198,162,18420
199,162,18950
200,114,16845
201,160,19045
202,134,21485
203,106,22470
204,114,22625
